Date,Rating,Review_No_x,Review_No_y,Perc
2017-07-20,3,9,170,0.052941176470588235
2017-07-20,4,19,170,0.11176470588235295
2017-07-20,5,130,170,0.7647058823529411
2017-07-21,1,9,137,0.06569343065693431
2017-07-21,2,2,137,0.014598540145985401
2017-07-21,3,3,137,0.021897810218978103
2017-07-21,4,13,137,0.0948905109489051
2017-07-21,5,110,137,0.8029197080291971
2017-07-22,1,6,141,0.0425531914893617
2017-07-22,2,1,141,0.0070921985815602835
2017-07-22,3,6,141,0.0425531914893617
2017-07-22,4,23,141,0.16312056737588654
2017-07-22,5,105,141,0.7446808510638298
2017-07-23,1,10,149,0.06711409395973154
2017-07-23,3,3,149,0.020134228187919462
2017-07-23,4,25,149,0.16778523489932887
2017-07-23,5,111,149,0.7449664429530202
2017-07-24,1,7,139,0.050359712230215826
2017-07-24,2,4,139,0.02877697841726619
2017-07-24,3,3,139,0.02158273381294964
2017-07-24,4,15,139,0.1079136690647482
2017-07-24,5,110,139,0.7913669064748201
2017-07-25,1,6,154,0.03896103896103896
2017-07-25,2,3,154,0.01948051948051948
2017-07-25,3,6,154,0.03896103896103896
2017-07-25,4,26,154,0.16883116883116883
2017-07-25,5,113,154,0.7337662337662337
2017-07-26,1,8,158,0.05063291139240506
2017-07-26,2,2,158,0.012658227848101266
2017-07-26,3,3,158,0.0189873417721519
2017-07-26,4,22,158,0.13924050632911392
2017-07-26,5,123,158,0.7784810126582279
2017-07-27,1,5,135,0.037037037037037035
2017-07-27,2,3,135,0.022222222222222223
2017-07-27,3,3,135,0.022222222222222223
2017-07-27,4,15,135,0.1111111111111111
2017-07-27,5,109,135,0.8074074074074075
2017-07-28,1,10,154,0.06493506493506493
2017-07-28,2,3,154,0.01948051948051948
2017-07-28,3,1,154,0.006493506493506494
2017-07-28,4,21,154,0.13636363636363635
2017-07-28,5,119,154,0.7727272727272727
2017-07-29,1,6,159,0.03773584905660377
2017-07-29,2,2,159,0.012578616352201259
2017-07-29,3,4,159,0.025157232704402517
2017-07-29,4,14,159,0.0880503144654088
2017-07-29,5,133,159,0.8364779874213837
2017-07-30,1,10,178,0.056179775280898875
2017-07-30,3,2,178,0.011235955056179775
2017-07-30,4,22,178,0.12359550561797752
2017-07-30,5,144,178,0.8089887640449438
2017-07-31,1,7,132,0.05303030303030303
2017-07-31,2,1,132,0.007575757575757576
2017-07-31,3,1,132,0.007575757575757576
2017-07-31,4,15,132,0.11363636363636363
2017-07-31,5,108,132,0.8181818181818182
2017-08-01,1,4,128,0.03125
2017-08-01,3,2,128,0.015625
2017-08-01,4,21,128,0.1640625
2017-08-01,5,101,128,0.7890625
2017-08-02,1,5,107,0.04672897196261682
2017-08-02,2,2,107,0.018691588785046728
2017-08-02,3,3,107,0.028037383177570093
2017-08-02,4,10,107,0.09345794392523364
2017-08-02,5,87,107,0.8130841121495327
2017-08-03,1,12,145,0.08275862068965517
2017-08-03,2,1,145,0.006896551724137931
2017-08-03,3,4,145,0.027586206896551724
2017-08-03,4,19,145,0.1310344827586207
2017-08-03,5,109,145,0.7517241379310344
2017-08-04,1,11,132,0.08333333333333333
2017-08-04,2,2,132,0.015151515151515152
2017-08-04,3,7,132,0.05303030303030303
2017-08-04,4,10,132,0.07575757575757576
2017-08-04,5,102,132,0.7727272727272727
2017-08-05,1,11,139,0.07913669064748201
2017-08-05,2,1,139,0.007194244604316547
2017-08-05,3,2,139,0.014388489208633094
2017-08-05,4,15,139,0.1079136690647482
2017-08-05,5,110,139,0.7913669064748201
2017-08-06,1,7,143,0.04895104895104895
2017-08-06,2,1,143,0.006993006993006993
2017-08-06,3,4,143,0.027972027972027972
2017-08-06,4,19,143,0.13286713286713286
2017-08-06,5,112,143,0.7832167832167832
2017-08-07,1,12,155,0.07741935483870968
2017-08-07,2,2,155,0.012903225806451613
2017-08-07,3,8,155,0.05161290322580645
2017-08-07,4,19,155,0.12258064516129032
2017-08-07,5,114,155,0.7354838709677419
2017-08-08,1,3,131,0.022900763358778626
2017-08-08,2,4,131,0.030534351145038167
2017-08-08,3,3,131,0.022900763358778626
2017-08-08,4,15,131,0.11450381679389313
2017-08-08,5,106,131,0.8091603053435115
2017-08-09,1,7,193,0.03626943005181347
2017-08-09,2,4,193,0.02072538860103627
2017-08-09,3,6,193,0.031088082901554404
2017-08-09,4,25,193,0.12953367875647667
2017-08-09,5,151,193,0.7823834196891192
2017-08-10,1,12,216,0.05555555555555555
2017-08-10,2,3,216,0.013888888888888888
2017-08-10,3,12,216,0.05555555555555555
2017-08-10,4,21,216,0.09722222222222222
2017-08-10,5,168,216,0.7777777777777778
2017-08-11,1,8,157,0.050955414012738856
2017-08-11,2,1,157,0.006369426751592357
2017-08-11,3,8,157,0.050955414012738856
